Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Paraguay,689,10,155,524,126,1.45,22.5,6.45,7132530,97.0,838,79,9.43
Peru,65015,1814,20246,42955,3168,2.79,31.14,8.96,65597846,991.0,111698,30081,26.93
Philippines,10610,704,1842,8064,147,6.64,17.36,38.22,109581085,97.0,13597,3037,22.34
Poland,15651,785,5437,9429,285,5.02,34.74,14.44,37846605,414.0,20619,2536,12.3
Portugal,27406,1126,2499,23781,138,4.11,9.12,45.06,10196707,2688.0,30200,1746,5.78
Qatar,21331,13,2449,18869,1130,0.06,11.48,0.53,2881060,7404.0,40481,12426,30.7
Romania,15131,939,6912,7280,320,6.21,45.68,13.59,19237682,787.0,17712,1270,7.17
Russia,198676,1827,31916,164933,10817,0.92,16.06,5.72,292579178,679.0,326448,61175,18.74
Rwanda,280,0,140,140,7,0.0,50.0,0.0,12952209,22.0,321,34,10.59
Saint Kitts and Nevis,15,0,14,1,0,0.0,93.33,0.0,53109,282.0,15,0,0.0
Saint Lucia,18,0,17,1,0,0.0,94.44,0.0,183629,98.0,18,0,0.0
Saint Vincent and the Grenadines,17,0,9,8,0,0.0,52.94,0.0,110854,153.0,18,8,44.44
San Marino,637,41,126,470,14,6.44,19.78,32.54,33938,18770.0,661,10,1.51
Sao Tome and Principe,208,5,4,199,0,2.4,1.92,125.0,219159,949.0,251,212,84.46
Saudi Arabia,37136,239,10144,26753,1704,0.64,27.32,2.36,34813867,1067.0,67719,14047,20.74
Senegal,1634,17,643,974,83,1.04,39.35,2.64,16743930,98.0,2909,520,17.88
Serbia,10032,215,2732,7085,89,2.14,27.23,7.87,8737370,1148.0,11024,330,2.99
Seychelles,11,0,8,3,0,0.0,72.73,0.0,98340,112.0,11,0,0.0
Sierra Leone,291,18,58,215,34,6.19,19.93,31.03,7976985,36.0,606,223,36.8
Singapore,22460,20,2296,20144,753,0.09,10.22,0.87,5850343,3839.0,30426,3434,11.29
Slovakia,1455,26,919,510,0,1.79,63.16,2.83,5459643,267.0,1503,17,1.13
Slovenia,1454,101,255,1098,4,6.95,17.54,39.61,2078932,699.0,1468,5,0.34
Somalia,997,48,110,839,69,4.81,11.03,43.64,15893219,63.0,1594,234,14.68
South Africa,9420,186,3983,5251,525,1.97,42.28,4.67,59308690,159.0,20125,9115,45.29
South Sudan,120,0,2,118,0,0.0,1.67,0.0,11193729,11.0,563,431,76.55
Spain,223578,26478,133952,63148,721,11.84,59.91,19.77,93691843,2386.0,234824,3740,1.59
Sri Lanka,847,9,260,578,12,1.06,30.7,3.46,21413250,40.0,1068,490,45.88
Sudan,1164,64,119,981,53,5.5,10.22,53.78,43849269,27.0,3378,1143,33.84
Suriname,10,1,9,0,0,10.0,90.0,11.11,586634,17.0,11,1,9.09
Sweden,25921,3220,4971,17730,656,12.42,19.18,64.78,10099270,2567.0,32809,3667,11.18
Switzerland,30251,1830,26400,2021,44,6.05,87.27,6.93,8654618,3495.0,30707,121,0.39
Syria,47,3,29,15,0,6.38,61.7,10.34,17500657,3.0,59,63,106.78
Taiwan*,440,6,361,73,0,1.36,82.05,1.66,23806638,18.0,441,1,0.23
Tajikistan,612,20,0,592,90,3.27,0.0,inf,9537642,64.0,2551,1135,44.49
Tanzania,509,21,183,305,0,4.13,35.95,11.48,59734213,9.0,509,0,0.0
Thailand,3004,56,2787,161,4,1.86,92.78,2.01,69799978,43.0,3037,39,1.28
Timor-Leste,24,0,21,3,0,0.0,87.5,0.0,1318442,18.0,24,0,0.0
Togo,153,10,87,56,8,6.54,56.86,11.49,8278737,18.0,363,65,17.91
Trinidad and Tobago,116,8,104,4,0,6.9,89.66,7.69,1399491,83.0,116,0,0.0
Tunisia,1032,45,660,327,2,4.36,63.95,6.82,11818618,87.0,1048,23,2.19
